,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1.3575251916642866e-13,-1.0,-1.0,101.0,0.0,0.0,7999999895928832.0,0.0,0.0,7999999895928832.0,0.0,0.0,5.84207577523026e+23,0.0,0.0,0.0,0.0,0.0
1,1.3585415148351154e-13,-1.0,-1.0,100.0,0.0,0.0,7999999895928832.0,0.0,0.0,7999999895928832.0,0.0,0.0,5.84207577523026e+23,0.0,0.0,0.0,0.0,0.0
2,1.3597073055810526e-13,-1.0,-1.0,101.0,0.0,0.0,7999999895928832.0,0.0,0.0,7999999895928832.0,0.0,0.0,5.84207577523026e+23,0.0,0.0,0.0,0.0,0.0
3,2.3820682987476946e-13,-1.0,-1.0,98.0,0.0,0.0,4387019987877888.0,0.0,0.0,4387019987877888.0,0.0,0.0,2.372392997072487e+23,0.0,0.0,0.0,0.0,0.0
4,2.3831063144059277e-13,-1.0,-1.0,98.0,0.0,0.0,4387019987877888.0,0.0,0.0,4387019987877888.0,0.0,0.0,2.372392997072487e+23,0.0,0.0,0.0,0.0,0.0
5,2.3849636214345155e-13,-1.0,-1.0,99.0,0.0,0.0,4387019987877888.0,0.0,0.0,4387019987877888.0,0.0,0.0,2.372392997072487e+23,0.0,0.0,0.0,0.0,0.0
6,2.3753178695744724e-13,-1.0,-1.0,98.0,0.0,0.0,4387019987877888.0,0.0,0.0,4387019987877888.0,0.0,0.0,2.372392997072487e+23,0.0,0.0,0.0,0.0,0.0
7,2.3792898789623577e-13,-1.0,-1.0,98.0,0.0,0.0,4387019987877888.0,0.0,0.0,4387019987877888.0,0.0,0.0,2.372392997072487e+23,0.0,0.0,0.0,0.0,0.0
8,2.381150150131193e-13,-1.0,-1.0,99.0,0.0,0.0,4387019987877888.0,0.0,0.0,4387019987877888.0,0.0,0.0,2.372392997072487e+23,0.0,0.0,0.0,0.0,0.0
9,5.633826960051562e-13,-1.0,-1.0,98.0,0.0,0.0,1795909973180416.0,0.0,0.0,1795909973180416.0,0.0,0.0,6.213825557851863e+22,0.0,0.0,0.0,0.0,0.0
10,5.63838926298376e-13,-1.0,-1.0,98.0,0.0,0.0,1795909973180416.0,0.0,0.0,1795909973180416.0,0.0,0.0,6.213825557851863e+22,0.0,0.0,0.0,0.0,0.0
11,5.642292978224358e-13,-1.0,-1.0,99.0,0.0,0.0,1795909973180416.0,0.0,0.0,1795909973180416.0,0.0,0.0,6.213825557851863e+22,0.0,0.0,0.0,0.0,0.0
12,5.634106866028817e-13,-1.0,-1.0,98.0,0.0,0.0,1795909973180416.0,0.0,0.0,1795909973180416.0,0.0,0.0,6.213825557851863e+22,0.0,0.0,0.0,0.0,0.0
13,5.637848736347866e-13,-1.0,-1.0,98.0,0.0,0.0,1795909973180416.0,0.0,0.0,1795909973180416.0,0.0,0.0,6.213825557851863e+22,0.0,0.0,0.0,0.0,0.0
14,5.641429763265335e-13,-1.0,-1.0,99.0,0.0,0.0,1795909973180416.0,0.0,0.0,1795909973180416.0,0.0,0.0,6.213825557851863e+22,0.0,0.0,0.0,0.0,0.0
15,6.9996727697621e-12,-1.0,-1.0,97.0,0.0,0.0,132079496986624.0,0.0,0.0,132079496986624.0,0.0,0.0,1.239325321484904e+21,0.0,0.0,0.0,0.0,0.0
16,7.0063433967380595e-12,-1.0,-1.0,96.0,0.0,0.0,132079496986624.0,0.0,0.0,132079496986624.0,0.0,0.0,1.239325321484904e+21,0.0,0.0,0.0,0.0,0.0
17,7.0102047179250116e-12,-1.0,-1.0,97.0,0.0,0.0,132079496986624.0,0.0,0.0,132079496986624.0,0.0,0.0,1.239325321484904e+21,0.0,0.0,0.0,0.0,0.0
18,1.2215148739632653e-11,-1.0,-1.0,95.0,0.0,0.0,72507000356864.0,0.0,0.0,72507000356864.0,0.0,0.0,5.04083081589315e+20,0.0,0.0,0.0,0.0,0.0
19,1.222568878958877e-11,-1.0,-1.0,94.0,0.0,0.0,72507000356864.0,0.0,0.0,72507000356864.0,0.0,0.0,5.04083081589315e+20,0.0,0.0,0.0,0.0,0.0
20,1.2221591155261775e-11,-1.0,-1.0,95.0,0.0,0.0,72507000356864.0,0.0,0.0,72507000356864.0,0.0,0.0,5.04083081589315e+20,0.0,0.0,0.0,0.0,0.0
21,1.2191106530739958e-11,-1.0,-1.0,93.0,0.0,0.0,72507000356864.0,0.0,0.0,72507000356864.0,0.0,0.0,5.04083081589315e+20,0.0,0.0,0.0,0.0,0.0
22,1.220286825505648e-11,-1.0,-1.0,92.0,0.0,0.0,72507000356864.0,0.0,0.0,72507000356864.0,0.0,0.0,5.04083081589315e+20,0.0,0.0,0.0,0.0,0.0
23,1.2199963246883324e-11,-1.0,-1.0,93.0,0.0,0.0,72507000356864.0,0.0,0.0,72507000356864.0,0.0,0.0,5.04083081589315e+20,0.0,0.0,0.0,0.0,0.0
24,2.8793985023071254e-11,-1.0,-1.0,94.0,0.0,0.0,29653649588224.0,0.0,0.0,29653649588224.0,0.0,0.0,1.318406819113604e+20,0.0,0.0,0.0,0.0,0.0
25,2.882315852661203e-11,-1.0,-1.0,93.0,0.0,0.0,29653649588224.0,0.0,0.0,29653649588224.0,0.0,0.0,1.318406819113604e+20,0.0,0.0,0.0,0.0,0.0
26,2.8839699186683437e-11,-1.0,-1.0,94.0,0.0,0.0,29653649588224.0,0.0,0.0,29653649588224.0,0.0,0.0,1.318406819113604e+20,0.0,0.0,0.0,0.0,0.0
27,2.8775956856289442e-11,-1.0,-1.0,94.0,0.0,0.0,29653649588224.0,0.0,0.0,29653649588224.0,0.0,0.0,1.318406819113604e+20,0.0,0.0,0.0,0.0,0.0
28,2.880674896289762e-11,-1.0,-1.0,93.0,0.0,0.0,29653649588224.0,0.0,0.0,29653649588224.0,0.0,0.0,1.318406819113604e+20,0.0,0.0,0.0,0.0,0.0
29,2.883077046825466e-11,-1.0,-1.0,94.0,0.0,0.0,29653649588224.0,0.0,0.0,29653649588224.0,0.0,0.0,1.318406819113604e+20,0.0,0.0,0.0,0.0,0.0
30,3.1678847168299087e-12,-1.0,-1.0,97.0,0.0,0.0,295756011405312.0,0.0,0.0,295756011405312.0,0.0,0.0,4.152719380644476e+21,0.0,0.0,0.0,0.0,0.0
31,3.17062408972689e-12,-1.0,-1.0,96.0,0.0,0.0,295756011405312.0,0.0,0.0,295756011405312.0,0.0,0.0,4.152719380644476e+21,0.0,0.0,0.0,0.0,0.0
32,3.170897614576005e-12,-1.0,-1.0,97.0,0.0,0.0,295756011405312.0,0.0,0.0,295756011405312.0,0.0,0.0,4.152719380644476e+21,0.0,0.0,0.0,0.0,0.0
33,5.53209774382429e-12,-1.0,-1.0,95.0,0.0,0.0,162348505497600.0,0.0,0.0,162348505497600.0,0.0,0.0,1.688902802434214e+21,0.0,0.0,0.0,0.0,0.0
34,5.5376540295281586e-12,-1.0,-1.0,94.0,0.0,0.0,162348505497600.0,0.0,0.0,162348505497600.0,0.0,0.0,1.688902802434214e+21,0.0,0.0,0.0,0.0,0.0
